work_id,term,context
T1421,粥,盡命供給舍衛城遠行比丘食。」又言：「我聞世尊聽阿那頻頭國諸比丘食粥。願聽諸比丘受我粥，我亦盡命供給舍衛城諸比丘粥。」又白佛言：「願
T1421,粥,比丘食。」又言：「我聞世尊聽阿那頻頭國諸比丘食粥。願聽諸比丘受我粥，我亦盡命供給舍衛城諸比丘粥。」又白佛言：「願世尊受我盡命衣食、
T1421,乳,者、黃色；三者、紅色；四者、黑色；五者、赤色；六者、白色；七者、乳色；八者、酥色；九者、油色；十者、蜜色。若發心，身動，欲出青色
T1421,乳,房內與女人種種麁惡語，作如是問：「汝手、脚、髀、膊、腰、腹、頸、乳、頭、面、爪、髮、大小便處何似？」復言：「姊妹！汝手、脚，乃至大
T1421,酥,者、紅色；四者、黑色；五者、赤色；六者、白色；七者、乳色；八者、酥色；九者、油色；十者、蜜色。若發心，身動，欲出青色，而黃色乃至
T1421,酥,、怛鉢那、非時漿、洗浴眾具、塗身塗足及然燈油。爾時眾僧多得生熟酥油、蜜、石蜜，食不能盡，積聚在地，處處流漫，污埿衣服、床席、臥具
T1421,蜜,者、赤色；六者、白色；七者、乳色；八者、酥色；九者、油色；十者、蜜色。若發心，身動，欲出青色，而黃色乃至蜜色出，皆僧伽婆尸沙。若
T1421,蜜,色；九者、油色；十者、蜜色。若發心，身動，欲出青色，而黃色乃至蜜色出，皆僧伽婆尸沙。若發心，身動，欲出黃色乃至蜜色，而餘色出，亦
T1421,飯,婆所求住止處。陀婆皆悉如法安處；次差會人亦復如是。時王舍城有善飯長者，見法得果。日為二比丘作上美食，自來請之。慈地兄弟並薄福德，
T1421,飯,慈地兄弟並薄福德，分臥具、差會時，常得麁惡階次，幸遇差至其家。善飯知已，便生是念：「此等惡人無清淨行，云何受我上美供養？」即便還歸
T1421,肉,；行白衣事、外道事；時亦入村，非時亦入村；行殺、盜、婬、飲酒、食肉；晝夜觀伎，歌謠自娛。」數作是語，無有慚愧。時有持戒比丘少欲知足
T1421,肉,殺，犯偷羅遮；又我病差，得修梵行。」爾時彼國又有賊難，諸白衣骨肉分離，備諸痛惱。比丘語言：「汝等已修生天福業，何用受此骨肉生離，
T1421,魚,白佛。佛言：「此不名為足食。有五種食，名為足食：飯、乾飯餅、麨、魚、肉。於此五食，一一食中有五事，名為足食：一者、有食；二者、授與
T1421,魚,日盡請眾僧，顧臨薄食。」六群比丘語言：「汝若與我乳、酪、酥、油、魚、肉者，當受汝請。」諸人答言：「當須假貸、市買辦之。」語已，各還
T1425,粥,起問訊安眠不？出唾壺器及小便器著常處；淨洗手，授澡水齒木，持鉢迎粥，小食已洗鉢令燥，安著常處；若有請處，當迎食；我欲入聚落時，當持
T1425,粥,、暮然燈火安慰問訊言：「阿姨！安隱住。」明旦供給齒木澡水，與種種粥，至時與隨適飲食。食已偏袒右肩右膝著地，合掌白言：「我今請阿姨夏
T1425,乳,因緣，即是我子。於彼小兒便生愛心，裹以皮衣持歸養之。仙人抱舉鹿母乳之，漸漸長大名為鹿斑。依母生故體斑似母，是故作字名曰鹿斑。是童子
T1425,乳,俱羅子如其兒想，那俱羅子於婆羅門亦如父想。時婆羅門於他舍會，或得乳酪及得餅肉，持還歸家與那俱羅。又於後時婆羅門婦忽便有娠，月滿生子
T1425,酥,，於此行婬者，波羅夷；身若壞爛，偷蘭罪；身全枯乾者亦偷蘭罪。若以酥油水漬潤不壞行婬者，波羅夷。若形壞，偷蘭罪。骨瑣相連膿血塗著行婬
T1425,酥,兒去，慎莫留後。』婆羅門婦與兒食已，便至比舍借碓舂穀。是時小兒有酥酪香，時有毒蛇乘香來至，張口吐毒欲殺小兒。那俱羅虫便作是念：『我
T1425,蜜,種計，　　女人策無量。』「如是王夫人多諸方便，便教獵者：『汝持蜜去，至彼樹上蜜塗樹葉，鹿聞蜜香必食樹葉噉盡，次第塗下至彼施網羂處
T1425,蜜,策無量。』「如是王夫人多諸方便，便教獵者：『汝持蜜去，至彼樹上蜜塗樹葉，鹿聞蜜香必食樹葉噉盡，次第塗下至彼施網羂處。』獵師如教還
T1425,飯,默然。汝等今日持我任於眾人如酪塗麨與烏；如酥塗餅與那俱羅；如油和飯與野干。修梵行者，為人所困，而坐觀之。」六群比丘即起作是言：「如
T1425,飯,作淨施法。若復捨故受新，十日一易。」復次佛在毘舍離，毘舍離人年年飯僧食已布施衣物，諸比丘不受。諸檀越詣佛所，禮足已白佛言：「頗有方
T1425,肉,兒想，那俱羅子於婆羅門亦如父想。時婆羅門於他舍會，或得乳酪及得餅肉，持還歸家與那俱羅。又於後時婆羅門婦忽便有娠，月滿生子便作是念：
T1425,肉,所可犯罪不可發露悔過故，名波羅夷。時藥者，一切根、一切穀、一切肉。根者。治毒草根、藕根、𮅙樓根、芋根、蘿蔔根、葱根，是名根。穀者
T1425,魚,句、十七俱陀婆，是名十七種穀。肉者，水陸虫肉。云何水虫？水虫者，魚、龜、提彌祇羅、修羅、修修羅、修修磨羅，如是等水中諸虫可食者，是
T1425,魚,蜜。石蜜者，槃施蜜、那羅蜜、縵闍蜜、摩訶毘梨蜜，是名石蜜。脂者，魚脂、熊脂、羆脂、修修羅脂、猪脂，此諸脂無骨、無肉、無血、無臭香、
T1428,粥,聽我與看病人食盡形壽供給。」復白佛言：「世尊聽阿那頻頭國諸比丘食粥，若世尊當聽比丘食粥者，我當盡形壽供給。」復白世尊言：「我晨朝遣
T1428,粥,供給。」復白佛言：「世尊聽阿那頻頭國諸比丘食粥，若世尊當聽比丘食粥者，我當盡形壽供給。」復白世尊言：「我晨朝遣婢至僧伽藍中白時到，
T1428,乳,聖眾若和合，　　世尊所稱譽；以眾和合故，　　佛法得久住。如乳母慈愛，　　養護於其子；一切水火難，　　護使不傷害。禁戒猶慈
T1428,乳,從上至下。舉者，捉舉上。下者，若立捉令坐。捉者，若捉前、捉後、捉乳、捉髀。捺者，捺前、捺後、若捺乳、捺髀，僧伽婆尸沙。若女作女想
T1428,酥,足、樂出離者：盡形壽乞食、盡形壽著糞掃衣、盡形壽露坐、盡形壽不食酥鹽、盡形壽不食魚及肉。我今持此五法，教諸比丘足令信樂，當語諸比丘
T1428,酥,出離勝法：我等盡形壽乞食、盡形壽著糞掃衣、盡形壽露坐、盡形壽不食酥鹽魚及肉。」爾時眾多比丘聞提婆達以五法如是教諸比丘令其信樂，廣說
T1428,蜜,乾飯不令麁現。」復作是念：「今有五種藥，世人所識：酥、油、生酥、蜜、石蜜，聽諸比丘服此五種藥，當食當藥如食飯乾飯不令麁現。」時世尊
T1428,蜜,令麁現。」復作是念：「今有五種藥，世人所識：酥、油、生酥、蜜、石蜜，聽諸比丘服此五種藥，當食當藥如食飯乾飯不令麁現。」時世尊從靜室
